Continent,City,Country,Population (2023)
Africa,Cairo,Egypt,22183201
Africa,Kinshasa,DR Congo,16315534
Africa,Lagos,Nigeria,15945912
Africa,Luanda,Angola,9292336
Africa,Dar Es Salaam,Tanzania,7775865
Africa,Khartoum,Sudan,6344348
Africa,Johannesburg,South Africa,6198016
Africa,Abidjan,Ivory Coast,5686350
Africa,Alexandria,Egypt,5588477
Africa,Addis Ababa,Ethiopia,5460591
Africa,Nairobi,Kenya,5325160
Africa,Cape Town,South Africa,4890280
Africa,Yaounde,Cameroon,4509287
Africa,Kano,Nigeria,4348481
Africa,Ekurhuleni,South Africa,4118327
Africa,Douala,Cameroon,4063200
Africa,Casablanca,Morocco,3892837
Africa,Ibadan,Nigeria,3874908
Africa,Antananarivo,Madagascar,3872264
Africa,Kampala,Uganda,3846102
Africa,Abuja,Nigeria,3839646
Africa,Kumasi,Ghana,3768239
Africa,Port Harcourt,Nigeria,3480101
Africa,Dakar,Senegal,3429536
Africa,Durban,South Africa,3228003
Africa,Lusaka,Zambia,3181250
Africa,Bamako,Mali,2929373
Africa,Algiers,Algeria,2901810
Africa,Mbuji Mayi,DR Congo,2891746
Africa,Pretoria,South Africa,2818100
Africa,Lubumbashi,DR Congo,2811959
Africa,Accra,Ghana,2660072
Africa,Mogadishu,Somalia,2610483
Africa,Tunis,Tunisia,2475446
Africa,Havana,Cuba,2148930
Africa,Conakry,Guinea,2110937
Africa,Lome,Togo,1981615
Africa,Rabat,Morocco,1959388
Africa,Benin City,Nigeria,1904631
Africa,Matola,Mozambique,1852405
Africa,Monrovia,Liberia,1678020
Africa,Kananga,DR Congo,1664442
Africa,Onitsha,Nigeria,1623382
Africa,N Djamena,Chad,1592324
Africa,Harare,Zimbabwe,1578128
Africa,Nouakchott,Mauritania,1491958
Africa,Mombasa,Kenya,1440396
Africa,Niamey,Niger,1437233
Africa,Kisangani,DR Congo,1423395
Africa,Uyo,Nigeria,1329284
Africa,Tanger,Morocco,1314178
Africa,Mwanza,Tanzania,1310754
Africa,Freetown,Sierra Leone,1309168
Africa,Port Elizabeth,South Africa,1295928
Africa,Fes,Morocco,1290039
Africa,Lilongwe,Malawi,1276316
Africa,Abomey Calavi,Benin,1252890
Africa,Bukavu,DR Congo,1248783
Africa,Kigali,Rwanda,1247551
Africa,Nnewi,Nigeria,1239186
Africa,Bujumbura,Burundi,1206767
Africa,Aba,Nigeria,1188803
Africa,Kaduna,Nigeria,1187398
Africa,Tripoli,Libya,1183292
Africa,Maputo,Mozambique,1162793
Africa,Bobo Dioulasso,Burkina Faso,1128646
Africa,Hargeysa,Somalia,1127198
Africa,Ikorodu,Nigeria,1093308
Africa,Sekondi Takoradi,Ghana,1077929
Africa,Tshikapa,DR Congo,1077108
Africa,Asmara,Eritrea,1072666
Africa,Nyala,Sudan,1056952
Africa,Marrakech,Morocco,1049690
Africa,Blantyre Limbe,Malawi,1030974
Africa,Ilorin,Nigeria,1030498
Africa,Warri,Nigeria,986921
Africa,Misratah,Libya,984193
Africa,Owerri,Nigeria,983352
Africa,Agadir,Morocco,979248
Africa,Jos,Nigeria,970129
Africa,Nampula,Mozambique,969322
Africa,Lubango,Angola,958548
Africa,Oran,Algeria,935947
Africa,West Rand,South Africa,934341
Africa,Cabinda,Angola,904676
Africa,Umuahia,Nigeria,904139
Africa,Soshanguve,South Africa,892254
Africa,Libreville,Gabon,869773
Africa,Banghazi,Libya,859209
Africa,Enugu,Nigeria,846560
Africa,Maiduguri,Nigeria,844747
Africa,Lokoja,Nigeria,839046
Africa,Bunia,DR Congo,812090
Africa,Benguela,Angola,809468
Africa,Zanzibar,Tanzania,800010
Africa,Vereeniging,South Africa,793927
Africa,Malanje,Angola,783243
Africa,Bur Sa'id,Egypt,778280
Africa,Oshogbo,Nigeria,771515
Africa,Zaria,Nigeria,766007
Africa,Kitwe,Zambia,762981
Africa,Merca,Somalia,760129
Africa,Akure,Nigeria,744371
Africa,Goma,DR Congo,744247
Africa,Tamale,Ghana,729768
Africa,Huambo,Angola,727641
