Continent,City,Country,Population (2023)
Asia,Tokyo,Japan,37194105
Asia,Delhi,India,32941309
Asia,Shanghai,China,29210808
Asia,Dhaka,Bangladesh,23209616
Asia,Beijing,China,21766214
Asia,Mumbai,India,21296517
Asia,Osaka,Japan,19013434
Asia,Chongqing,China,17340704
Asia,Karachi,Pakistan,17236230
Asia,Istanbul,Turkey,15847768
Asia,Kolkata,India,15332793
Asia,Manila,Philippines,14667089
Asia,Guangzhou,China,14284353
Asia,Tianjin,China,14238643
Asia,Lahore,Pakistan,13979390
Asia,Bangalore,India,13607800
Asia,Shenzhen,China,13072633
Asia,Moscow,Russia,12680389
Asia,Chennai,India,11776147
Asia,Jakarta,Indonesia,11248839
Asia,Bangkok,Thailand,11069982
Asia,Hyderabad,India,10801163
Asia,Seoul,South Korea,9988049
Asia,Nanjing,China,9698464
Asia,Chengdu,China,9653772
Asia,London,United Kingdom,9648110
Asia,Nagoya,Japan,9569328
Asia,Tehran,Iran,9499781
Asia,Ho Chi Minh City,Vietnam,9320866
Asia,Xi An Shaanxi,China,8785174
Asia,Wuhan,China,8718250
Asia,Ahmedabad,India,8650605
Asia,Kuala Lumpur,Malaysia,8621724
Asia,Hangzhou,China,8237206
Asia,Suzhou,China,8074031
Asia,Surat,India,8064949
Asia,Baghdad,Iraq,7711305
Asia,Hong Kong,Hong Kong,7684801
Asia,Riyadh,Saudi Arabia,7682430
Asia,Shenyang,China,7680967
Asia,Foshan,China,7597386
Asia,Dongguan,China,7587049
Asia,Pune,India,7166374
Asia,Haerbin,China,6803811
Asia,Singapore,Singapore,6080859
Asia,Dalian,China,6077995
Asia,Qingdao,China,5986525
Asia,Zhengzhou,China,5859272
Asia,Ji Nan Shandong,China,5806031
Asia,Yangon,Myanmar,5610241
Asia,Saint Petersburg,Russia,5561294
Asia,Fukuoka,Japan,5490271
Asia,Ankara,Turkey,5397098
Asia,Chittagong,Bangladesh,5379660
Asia,Hanoi,Vietnam,5253385
Asia,Changsha,China,4921487
Asia,Urumqi,China,4865038
Asia,Jiddah,Saudi Arabia,4862941
Asia,Kunming,China,4761284
Asia,Changchun,China,4710382
Asia,Hefei,China,4615758
Asia,Kabul,Afghanistan,4588666
Asia,Shantou,China,4573713
Asia,Ningbo,China,4537901
Asia,New Taipei,Taiwan,4504147
Asia,Tel Aviv,Israel,4420855
Asia,Shijiazhuang,China,4370473
Asia,Jaipur,India,4207084
Asia,Nanning,China,4191890
Asia,Taiyuan Shanxi,China,4145010
Asia,Kozhikode,India,4088555
Asia,Malappuram,India,4009087
Asia,Changzhou,China,3981658
Asia,Lucknow,India,3945409
Asia,Xiamen,China,3935484
Asia,Fuzhou Fujian,China,3922202
Asia,Nanchang,China,3920379
Asia,Wenzhou,China,3919724
Asia,Tangshan Hebei,China,3814702
Asia,Bekasi,Indonesia,3729351
Asia,Faisalabad,Pakistan,3710845
Asia,Guiyang,China,3580904
Asia,Thrissur,India,3482456
Asia,Busan,South Korea,3471949
Asia,Wuxi,China,3437346
Asia,Kochi,India,3406055
Asia,Mashhad,Iran,3367852
Asia,Indore,India,3302077
Asia,Kuwait City,Kuwait,3297759
Asia,Lanzhou,China,3297528
Asia,Sanaa,Yemen,3292497
Asia,Kanpur,India,3234160
Asia,Pyongyang,North Korea,3157538
Asia,Izmir,Turkey,3088414
Asia,Nagpur,India,3046687
Asia,Surabaya,Indonesia,3044413
Asia,Depok,Indonesia,3041229
Asia,Zhongshan,China,3010685
Asia,Coimbatore,India,3009047
Asia,Dubai,United Arab Emirates,3007583
Asia,Handan,China,3005409
Asia,Huaian,China,2979893
Asia,Shizuoka,Japan,2937359
Asia,Weifang,China,2917819
Asia,Thiruvananthapuram,India,2891119
Asia,Incheon,South Korea,2848557
Asia,Shaoxing,China,2805654
Asia,Zibo,China,2780142
Asia,Yantai,China,2764584
Asia,Huizhou,China,2758593
Asia,Taipei,Taiwan,2754196
Asia,Bandung,Indonesia,2674000
Asia,Sapporo,Japan,2666112
Asia,Tashkent,Uzbekistan,2603243
Asia,Luoyang,China,2602793
Asia,Damascus,Syria,2584771
Asia,Patna,India,2579762
Asia,Bhopal,India,2564502
Asia,Tangerang,Indonesia,2514077
Asia,Nantong,China,2492230
Asia,Medan,Indonesia,2439054
Asia,Baku,Azerbaijan,2432304
Asia,Beirut,Lebanon,2421354
Asia,Gujranwala,Pakistan,2415416
Asia,Peshawar,Pakistan,2411785
Asia,Hohhot,China,2380636
Asia,Rawalpindi,Pakistan,2377325
Asia,Agra,India,2367554
Asia,Kannur,India,2346137
Asia,Liuzhou,China,2343452
Asia,Sendai,Japan,2342302
Asia,Baotou,China,2334878
Asia,Visakhapatnam,India,2330928
Asia,Vadodara,India,2324084
Asia,Taoyuan,Taiwan,2318850
Asia,Xuzhou,China,2287166
Asia,Phnom Penh,Cambodia,2281198
Asia,Esfahan,Iran,2258396
Asia,Nashik,India,2237369
Asia,Amman,Jordan,2232240
Asia,Vijayawada,India,2229765
Asia,Aleppo,Syria,2203025
Asia,Daegu,South Korea,2180997
Asia,Putian,China,2176022
Asia,Multan,Pakistan,2154600
Asia,Mecca,Saudi Arabia,2149928
Asia,Yangzhou,China,2131291
Asia,Wuhu Anhui,China,2124797
Asia,Baoding,China,2107539
Asia,Kollam,India,2106606
Asia,Taizhou Zhejiang,China,2102143
Asia,Bursa,Turkey,2086324
Asia,Linyi Shandong,China,2076364
Asia,Hiroshima,Japan,2067591
Asia,Rajkot,India,2043107
Asia,Haikou,China,2016092
Asia,Daqing,China,2000656
Asia,Yancheng Jiangsu,China,1993463
Asia,Almaty,Kazakhstan,1987301
