City,Country,Continent,Population (2024),Population (2023),Growth Rate
Tokyo,Japan,Asia,37115035,37194105,-0.0021
Delhi,India,Asia,33807403,32941309,0.0263
Shanghai,China,Asia,29867918,29210808,0.0225
Dhaka,Bangladesh,Asia,23935652,23209616,0.0313
Beijing,China,Asia,22189082,21766214,0.0194
Mumbai,India,Asia,21673149,21296517,0.0177
Osaka,Japan,Asia,18967459,19013434,-0.0024
Chongqing,China,Asia,17773923,17340704,0.025
Karachi,Pakistan,Asia,17648555,17236230,0.0239
Istanbul,Turkey,Asia,16047350,15847768,0.0126
Kolkata,India,Asia,15570786,15332793,0.0155
Manila,Philippines,Asia,14941953,14667089,0.0187
Guangzhou,China,Asia,14590096,14284353,0.0214
Tianjin,China,Asia,14470873,14238643,0.0163
Lahore,Pakistan,Asia,14407074,13979390,0.0306
Bangalore,India,Asia,14008262,13607800,0.0294
Shenzhen,China,Asia,13311855,13072633,0.0183
Moscow,Russia,Asia,12712305,12680389,0.0025
Chennai,India,Asia,12053697,11776147,0.0236
Jakarta,Indonesia,Asia,11436004,11248839,0.0166
Bangkok,Thailand,Asia,11233869,11069982,0.0148
Hyderabad,India,Asia,11068877,10801163,0.0248
Seoul,South Korea,Asia,10004840,9988049,0.0017
Nanjing,China,Asia,9947548,9698464,0.0257
Chengdu,China,Asia,9828110,9653772,0.0181
London,United Kingdom,Asia,9748033,9648110,0.0104
Tehran,Iran,Asia,9616007,9499781,0.0122
Ho Chi Minh City,Vietnam,Asia,9567656,9320866,0.0265
Nagoya,Japan,Asia,9556879,9569328,-0.0013
Xi An Shaanxi,China,Asia,9013837,8785174,0.026
Ahmedabad,India,Asia,8854444,8650605,0.0236
Wuhan,China,Asia,8850850,8718250,0.0152
Kuala Lumpur,Malaysia,Asia,8815630,8621724,0.0225
Hangzhou,China,Asia,8419842,8237206,0.0222
Suzhou,China,Asia,8350625,8074031,0.0343
Surat,India,Asia,8330528,8064949,0.0329
Baghdad,Iraq,Asia,7921134,7711305,0.0272
Shenyang,China,Asia,7830377,7680967,0.0195
Riyadh,Saudi Arabia,Asia,7820551,7682430,0.018
Hong Kong,Hong Kong,Asia,7725859,7684801,0.0053
Foshan,China,Asia,7704935,7597386,0.0142
Dongguan,China,Asia,7675146,7587049,0.0116
Pune,India,Asia,7345848,7166374,0.025
Haerbin,China,Asia,6938008,6803811,0.0197
Dalian,China,Asia,6217487,6077995,0.023
Singapore,Singapore,Asia,6119203,6080859,0.0063
Qingdao,China,Asia,6104597,5986525,0.0197
Zhengzhou,China,Asia,6014887,5859272,0.0266
Ji Nan Shandong,China,Asia,5940698,5806031,0.0232
Yangon,Myanmar,Asia,5709678,5610241,0.0177
Saint Petersburg,Russia,Asia,5581707,5561294,0.0037
Chittagong,Bangladesh,Asia,5513609,5379660,0.0249
Fukuoka,Japan,Asia,5478076,5490271,-0.0022
Ankara,Turkey,Asia,5477087,5397098,0.0148
Hanoi,Vietnam,Asia,5431801,5253385,0.034
Changsha,China,Asia,5027975,4921487,0.0216
Urumqi,China,Asia,5005964,4865038,0.029
Jiddah,Saudi Arabia,Asia,4943210,4862941,0.0165
Kunming,China,Asia,4861079,4761284,0.021
Changchun,China,Asia,4802447,4710382,0.0195
Kabul,Afghanistan,Asia,4728384,4588666,0.0304
Hefei,China,Asia,4727290,4615758,0.0242
Ningbo,China,Asia,4659830,4537901,0.0269
Shantou,China,Asia,4656525,4573713,0.0181
New Taipei,Taiwan,Asia,4534877,4504147,0.0068
Tel Aviv,Israel,Asia,4495727,4420855,0.0169
Shijiazhuang,China,Asia,4454132,4370473,0.0191
Jaipur,India,Asia,4308510,4207084,0.0241
Nanning,China,Asia,4291463,4191890,0.0238
Kozhikode,India,Asia,4243962,4088555,0.038
Taiyuan Shanxi,China,Asia,4226782,4145010,0.0197
Malappuram,India,Asia,4184921,4009087,0.0439
Changzhou,China,Asia,4085502,3981658,0.0261
Lucknow,India,Asia,4038214,3945409,0.0235
Nanchang,China,Asia,4016037,3920379,0.0244
Wenzhou,China,Asia,4009531,3919724,0.0229
Xiamen,China,Asia,4007468,3935484,0.0183
Fuzhou Fujian,China,Asia,3998754,3922202,0.0195
Tangshan Hebei,China,Asia,3925206,3814702,0.029
Bekasi,Indonesia,Asia,3830678,3729351,0.0272
Faisalabad,Pakistan,Asia,3800193,3710845,0.0241
Guiyang,China,Asia,3661446,3580904,0.0225
Thrissur,India,Asia,3605238,3482456,0.0353
Kochi,India,Asia,3507053,3406055,0.0297
Wuxi,China,Asia,3498740,3437346,0.0179
Busan,South Korea,Asia,3477419,3471949,0.0016
Mashhad,Iran,Asia,3415532,3367852,0.0142
Sanaa,Yemen,Asia,3407814,3292497,0.035
