Continent,City,Country,Population (2023)
Europe,Paris,France,11208440
Europe,Madrid,Spain,6751374
Europe,Barcelona,Spain,5687356
Europe,Rome,Italy,4315671
Europe,Berlin,Germany,3573938
Europe,Milan,Italy,3154570
Europe,Athens,Greece,3154463
Europe,Kiev,Ukraine,3016789
Europe,Lisbon,Portugal,3000536
Europe,Birmingham,United Kingdom,2665100
Europe,Naples,Italy,2179384
Europe,Brussels,Belgium,2121992
Europe,Minsk,Belarus,2057257
Europe,Vienna,Austria,1975271
Europe,West Yorkshire,United Kingdom,1928661
Europe,Turin,Italy,1801944
Europe,Warsaw,Poland,1797516
Europe,Hamburg,Germany,1787520
Europe,Budapest,Hungary,1778052
Europe,Bucharest,Romania,1776385
Europe,Lyon,France,1761188
Europe,Stockholm,Sweden,1700066
Europe,Marseille,France,1627549
Europe,Munich,Germany,1576416
Europe,Zurich,Switzerland,1431538
Europe,Kharkiv,Ukraine,1421052
Europe,Belgrade,Serbia,1408144
Europe,Copenhagen,Denmark,1381005
Europe,Helsinki,Finland,1337786
Europe,Porto,Portugal,1324652
Europe,Sofia,Bulgaria,1288114
Europe,Dublin,Ireland,1270172
Europe,Amsterdam,Netherlands,1174025
Europe,Cologne,Germany,1143715
Europe,Oslo,Norway,1085992
Europe,Lille,France,1079120
Europe,Toulouse,France,1060460
Europe,Antwerp,Belgium,1057215
Europe,Rotterdam,Netherlands,1018012
Europe,Odesa,Ukraine,1007716
Europe,Bordeaux,France,1000475
Europe,Nice,France,948149
Europe,Dnipro,Ukraine,941586
Europe,Liverpool,United Kingdom,917032
Europe,Bergamo,Italy,913376
Europe,Donetsk,Ukraine,887716
Europe,Palermo,Italy,849687
Europe,Valencia,Spain,838301
Europe,Thessaloniki,Greece,814524
Europe,Bologna,Italy,814332
Europe,Frankfurt,Germany,796437
Europe,Krakow,Poland,769417
Europe,Sheffield,United Kingdom,745876
