Continent,City,Country,Population (2023)
North America,Mexico City,Mexico,22281442
North America,New York,United States,8133522
North America,Toronto,Canada,6371958
North America,Guadalajara,Mexico,5419880
North America,Monterrey,Mexico,5116647
North America,Montreal,Canada,4307958
North America,Los Angeles,United States,3785439
North America,Puebla,Mexico,3344761
North America,Guatemala City,Guatemala,3095099
North America,Port Au Prince,Haiti,2987455
North America,Vancouver,Canada,2657088
North America,Chicago,United States,2627520
North America,Toluca De Lerdo,Mexico,2626368
North America,San Juan,Puerto Rico,2439564
North America,Houston,United States,2304383
North America,Tijuana,Mexico,2259787
North America,Panama City,Panama,1976866
North America,Leon De Los Aldamas,Mexico,1898749
North America,La Laguna,Mexico,1780592
North America,Phoenix,United States,1660445
North America,Calgary,Canada,1639613
North America,Ciudad Juarez,Mexico,1582313
North America,Tegucigalpa,Honduras,1568025
North America,Philadelphia,United States,1550587
North America,Edmonton,Canada,1544448
North America,San Antonio,United States,1489751
North America,San Jose,Costa Rica,1461989
North America,Ottawa,Canada,1437188
North America,Queretaro,Mexico,1413474
North America,San Diego,United States,1378307
North America,Dallas,United States,1297495
North America,San Luis Potosi,Mexico,1273325
North America,Merida,Mexico,1220603
North America,Mexicali,Mexico,1178477
North America,Aguascalientes,Mexico,1161448
North America,Cuernavaca,Mexico,1123843
North America,Chihuahua,Mexico,1116295
North America,San Salvador,El Salvador,1116052
North America,Managua,Nicaragua,1094510
North America,Tampico,Mexico,1047251
North America,Saltillo,Mexico,1034126
North America,Cancun,Mexico,1022604
North America,Acapulco De Juarez,Mexico,1018976
North America,Morelia,Mexico,988744
North America,San Pedro Sula,Honduras,982021
North America,Jacksonville,United States,981125
North America,Austin,United States,978786
North America,Fort Worth,United States,973275
North America,Veracruz,Mexico,955226
North America,San Jose,United States,951934
North America,Reynosa,Mexico,951417
North America,Villahermosa,Mexico,943530
North America,Hermosillo,Mexico,915060
North America,Charlotte,United States,909022
North America,Columbus,United States,908823
North America,Tuxtla Gutierrez,Mexico,897694
North America,Culiacan,Mexico,888620
North America,Indianapolis (balance),United States,877355
North America,Quebec City,Canada,844249
North America,Winnipeg,Canada,841108
North America,Xalapa,Mexico,811041
North America,Hamilton,Canada,781047
North America,Seattle,United States,753624
