Continent,City,Country,Population (2024)
South America,Sao Paulo,Brazil,22806704
South America,Buenos Aires,Argentina,15618288
South America,Rio De Janeiro,Brazil,13824347
South America,Bogota,Colombia,11658211
South America,Lima,Peru,11361938
South America,Santiago,Chile,6950952
South America,Belo Horizonte,Brazil,6300409
South America,Brasilia,Brazil,4935274
South America,Recife,Brazil,4305127
South America,Fortaleza,Brazil,4246399
South America,Porto Alegre,Brazil,4239867
South America,Medellin,Colombia,4137386
South America,Salvador,Brazil,3994982
South America,Curitiba,Brazil,3852459
South America,Asuncion,Paraguay,3568830
South America,Campinas,Brazil,3458441
South America,Guayaquil,Ecuador,3193267
South America,Caracas,Venezuela,2991727
South America,Cali,Colombia,2890433
South America,Goiania,Brazil,2890418
South America,Belem,Brazil,2432177
South America,Manaus,Brazil,2406854
South America,Maracaibo,Venezuela,2400826
South America,Barranquilla,Colombia,2373302
South America,Grande Vitoria,Brazil,2196818
South America,Valencia,Venezuela,2007265
South America,Quito,Ecuador,1986667
South America,La Paz,Bolivia,1965570
South America,Baixada Santista,Brazil,1965110
South America,Santa Cruz,Bolivia,1855732
South America,Montevideo,Uruguay,1781363
South America,Cordoba,Argentina,1625937
South America,Rosario,Argentina,1613041
South America,Natal,Brazil,1556413
South America,Grande Sao Luis,Brazil,1536017
South America,Joao Pessoa,Brazil,1435125
South America,Cochabamba,Bolivia,1430688
South America,Bucaramanga,Colombia,1396632
South America,Maceio,Brazil,1375984
South America,Joinville,Brazil,1361992
South America,Florianopolis,Brazil,1309895
South America,Barquisimeto,Venezuela,1267872
South America,Maracay,Venezuela,1256553
South America,Mendoza,Argentina,1242319
South America,Cartagena,Colombia,1096463
South America,Aracaju,Brazil,1070122
South America,Teresina,Brazil,1059657
South America,San Miguel De Tucuman,Argentina,1039226
South America,Valparaiso,Chile,1016585
South America,Ciudad Guayana,Venezuela,978202
South America,Cucuta,Colombia,972485
South America,Arequipa,Peru,971296
South America,Campo Grande,Brazil,934936
South America,Londrina,Brazil,932892
South America,La Plata,Argentina,923715
South America,Concepcion,Chile,920916
South America,Trujillo,Peru,916632
South America,Barcelona Puerto La Cruz,Venezuela,835805
South America,Sorocaba,Brazil,821435
South America,Maturin,Venezuela,775097
South America,Sao Jose Dos Campos,Brazil,757137
South America,Ribeirao Preto,Brazil,750174
